PMID,BHB Target,Model Raw,Model Global,Model Cannonical,Mechanism Raw,Mechanism Cannonical,Organ/tissue Raw,Organ/tissue Cannonical,Cell Type Raw,Cell Type Global,Celly Type Cannonical,Organelle Raw,Organelle Global,Organelle Cannonical,Disease,Disease Category,Disease Outcome Nonstandardized,Disease Outcome Standardized,BHB Source Raw,BHB Source Cannonical,Isomer
2374520,HAS2,human skin fibroblasts,in vitro,In vitro – Primary cells,"energy source, up",Metabolic Regulation,skin,Skin/Integument,human skin fibroblasts,Stromal / Mesenchymal,Fibroblasts,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",used as an energy source instead of D-glucose,NS,NS
237626,BDH1; OXCT1; ACAT1,male rats,animal,Animal – Rat,"ketone oxidation capacity, up",Metabolic Regulation,gastrocnemius muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Ketosis,Metabolic & Endocrine,"development of ketosis, down","Blood ketones (BHB), down",D-beta[3-14-C]-hydroxybutyrate,NS,D-BHB
23918932,MLXIPL; 0,starved liver; high fat-fed liver; hepatocytes,animal; in vitro,NS; Animal – Other Mammal; In vitro – Primary cells,"nuclear localization, down",Other / Unspecified,liver,Liver,hepatocytes,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,cytoplasm,Cytosol,Unspecified,nan,Other / Unspecified,"fat synthesis, down","Fat synthesis, down",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
24323418,0,rat cortical neurons (DIV 14); rat cortical neurons (DIV 7),animal; in vitro,Animal – Rat,"respiratory capacity, up",Mitochondrial Function & Bioenergetics,cortex,Brain/CNS,cortical neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",exogenous (1.0-10.0 mM),In vitro media supplementation,NS
24379353,0,rats; dissociated VMH neurons,animal; in vitro,Animal – Rat; In vitro – Primary cells,"astrocyte ketone production, up",Metabolic Regulation,ventromedial hypothalamus (VMH),Brain/CNS,astrocytes,Neural / Glial,Astrocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"caloric intake, down","Food intake, down",NS,NS,NS
2442356,ATP1A1,guinea-pig taenia from caecum,animal; in vitro,Animal – Other Mammal,"oxidative phosphorylation, up",Mitochondrial Function & Bioenergetics,taenia from the guinea-pig caecum,Large intestine/Colon,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-HB (11.8 mM),In vitro media supplementation,NS
24524836,0,rat; AMPA-perfused lumbar spinal cord,animal,Animal – Rat; Ex vivo – Tissue/Organ explant or slice,"energy metabolism, up",Metabolic Regulation,lumbar spinal cord,Spinal cord,motor neuron,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"motor neuron loss, down; motor function, up; paralysis, down","Neuronal survival, down; Motor function, up; Neurological deficit score, down",NS,NS,NS
24535268,0; ALB,human serum albumin (HSA),in vitro,In vitro – Primary cells,"AGEs formation, down",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",produced by the liver,Ketogenic diet (endogenous),NS
24627243,ICAM1; ROS1,Human umbilical vein endothelial cells; THP-1 monocytes,in vitro,In vitro – Primary cells; In vitro – Immortalized cell line,"ROS production, up",Oxidative Stress & Antioxidant Defense,endothelium,Vasculature,human umbilical vein endothelial cells,Endothelial,Endothelial (unspecified),NS,Unspecified / Generic,NS,Endothelial dysfunction,Cardiovascular,"monocyte adhesion, up","Monocyte adhesion, up","ketones (AA or BHB, 0-4 mM)",In vitro media supplementation,NS
24649459,0,male ICR mice (postnatal day 49),animal,Animal – Mouse,"anticonvulsant effects, up",Neurotransmission & Neuronal Plasticity,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"latency to onset of seizures, up","Seizure activity, up",injected intraperitoneally with BHB (20 mmol/kg),Intraperitoneal BHB,NS
24780902,0,rats fasted 36 hours; awake ex vivo; pentobarbital-induced isoelectricity ex vivo; halothane-anesthetized in vivo,animal,Animal – Rat; Ex vivo – Tissue/Organ explant or slice; NS,"neuronal acetyl-CoA oxidation, up",Metabolic Regulation,neocortex,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"neuronal energy support, up","Neuroprotection, up","[2,4-(13)C(2)]-D-beta-hydroxybutyrate (BHB)",Exogenous BHB (unspecified/free acid),D-BHB
24789366,0,rats,animal,Animal – Rat,"energy substrate protection, up",Metabolic Regulation,hippocampus,Brain/CNS,pyramidal neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"latency to onset of status epilepticus, up; hippocampal neuronal death, down","Seizure activity, up; Neuronal survival, down",DL- and L-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
24789919,UCP1,murine white adipose cells; human cells; in vivo,animal; human; in vitro,Animal – Mouse; In vitro – Primary cells; NS,"redox state modification, NS",Oxidative Stress & Antioxidant Defense,adipose tissue,Adipose tissue,white adipose cells,Adipose,White adipocytes,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",ketone body,NS,NS
24845831,HCAR2; PTGS1; HPGDS,Hca2(-/-) mice; chimeric mice; stroke model,animal,Animal – Mouse; NS,"HCA2 activation, required",Inflammation & Immune Response,ischemic brain,Brain/CNS,Ly-6C(Lo) monocytes and/or macrophages,Unspecified / Mixed,Mixed cell population,NS,Unspecified / Generic,NS,Stroke; nan,Cerebrovascular / Stroke; Neurodegenerative,"infarct size, down","Infarct size, down",endogenous; ketogenic diet,NS; Ketogenic diet (endogenous),NS
24858472,SLC27A1,mouse gastrocnemius; C2C12 myotubes; newborn mice (adenovirus in hindlimb); isolated mouse gastrocnemius strips,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"ketone body oxidation, down",Metabolic Regulation,skeletal muscle (gastrocnemius),Skeletal muscle,C2C12 myotubes,Muscle – Skeletal,Myoblasts,mitochondria (outer membrane and intermembrane),Mitochondria,Unspecified,nan,Other / Unspecified,"beta-hydroxybutyrate levels, up","Blood ketones (BHB), up",NS,NS,NS
25082548,0,rat hippocampal slices,animal; in vitro,Multi-model,"alternative energy substrate, up",Metabolic Regulation,hippocampus,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"population spike recovery, up","Neuroprotection, up",NS,NS,NS
25084,0,erythrocytes; thymocytes,in vitro,In vitro – Primary cells,"influx, up",Ion & Nutrient Transport,NS,NS,erythrocytes,Blood (non-nucleated),Erythrocytes / Reticulocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
25127866,0; HDAC3; BDH1; SNCA,C. elegans nematodes,animal,Animal – Invertebrate,"HDAC inhibition, down",Epigenetic Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Alzheimer's disease; Parkinson's disease,Neurodegenerative,"amyloid-beta toxicity, down; alpha-synuclein aggregation, down; glucose toxicity, down (partial); lifespan, up; thermotolerance, up","Neuroprotection, down; alpha-synuclein aggregation, down; Blood glucose, down (partial); Lifespan, up; Thermogenesis, up",betaHB supplementation,Exogenous BHB (unspecified/free acid),D-BHB
2513232,0,human polymorphonuclear leukocytes; A23187-stimulated; opsonized zymosan-stimulated,human; in vitro,In vitro – Primary cells; NS,"PAF production, up",Inflammation & Immune Response,blood,Blood,polymorphonuclear leukocytes,Unspecified / Mixed,Mixed cell population,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
25200525,SLC1A1; 0,EL mouse,animal,Animal – Mouse,"glucose utilization, down",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"seizure susceptibility, no-change","Seizure activity, no-change",supplemented in the drinking water,Drinking water / Diet admixture,NS
25279990,0,three-week-old rats,animal,Animal – Rat,"NS, nan",Other / Unspecified,brain,Brain/CNS,neuron,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Hypoglycemia-induced neuronal injury,Neurodegenerative,"neuronal injury, down","Brain injury, down",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
25301680,0,patient with Alzheimer's disease dementia (Mini-Mental State Examination score 12),human,Human – Observational/Patient samples,"bypass metabolic blocks to glucose utilization, NS",Metabolic Regulation,brain,Brain/CNS,neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Alzheimer's disease,Neurodegenerative,"mood, up; affect, up; self-care, up; cognitive performance, up; daily activity performance, up","Depressive-like behavior, up; Anxiety-like behavior, up; Self-care, up; Cognitive performance, up; Locomotor activity, up",ketone monoester (KME),Ketone ester (KE),NS
25330271,GRIN1,cultured murine glutamatergic neurons,animal; in vitro,Animal – Mouse,"glycolysis, down",Metabolic Regulation,NS,NS,glutamatergic neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",R-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
25415176,INS; GCG,Healthy post-absorptive males (n=6),human,Human – Observational/Patient samples,"glucose production, down",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"glucose production, down; lipolysis, down","Blood glucose, down; Lipolysis, down",HOB infusion,Intravenous BHB,D-BHB
25440059,SIRT1,Csb(m/m) mice; nematodes; human cells,animal; in vitro,Animal – Mouse; Animal – Invertebrate; In vitro – Primary cells,"SIRT1 activation, up",Epigenetic Regulation,NS,NS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Cockayne syndrome,Genetic / Congenital,"CS-associated phenotypes, rescued","Phenotype, rescued",high-fat diet,Ketogenic diet (endogenous),NS
25471572,KCNJ11; 0,mouse substantia nigra pars reticulata (SNr) brain slices,animal; in vitro,Multi-model,"nonselective cationic conductance, down",Ion & Nutrient Transport,substantia nigra pars reticulata (SNr),Brain/CNS,GABAergic neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
25489974,0,HUVECs,in vitro,In vitro – Primary cells,"NF-kappaB activation, no-change",Inflammation & Immune Response,endothelial cells,Vasculature,HUVECs,Endothelial,Venous endothelial,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",BHB (0-10 mM),In vitro media supplementation,NS
2549422,0,severely diabetic rats; normal rats; mildly diabetic rats,animal; in vitro,Animal – Rat,"inhibition of epinephrine-induced lipolysis, no-change",Hormonal Regulation,NS,NS,adipocytes,Adipose,White adipocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"lipolysis, no-change","Lipolysis, no-change",Ten mM beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
25591777,0; ICAM1,HUVEC,human; in vitro,In vitro – Primary cells,"NOX upregulation, up",Oxidative Stress & Antioxidant Defense,microvasculature,Vasculature,HUVEC,Endothelial,Venous endothelial,NS,Unspecified / Generic,NS,Type 1 diabetes mellitus,Metabolic & Endocrine,"cellular injury, up","Brain injury, up",NS,NS,NS
25649993,0,rat; cortical cultures,animal; in vitro,Animal – Rat; In vitro – Primary cells,"mitochondrial function, up",Mitochondrial Function & Bioenergetics,cortex,Brain/CNS,neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Hypoglycemia,Metabolic & Endocrine,"neuronal death, down","Neuronal survival, down",systemic administration of D-BHB; D-BHB; L-BHB,Exogenous BHB (unspecified/free acid),D-BHB
25692249,GPT; GOT1; 0; LDHA,porcine hemorrhagic shock/polytrauma model; healthy pigs,animal,Animal – Other Mammal,"NS, nan",Other / Unspecified,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Multi-disease,"survival, no-change","Survival, no-change",D-ss-hydroxybutyrate and melatonin; intravenous and intraosseous infusion,NS; Multi-source,D-BHB
25786485,0,DIO rats; DR rats,animal,Animal – Rat,"neuronal excitation, up",Neurotransmission & Neuronal Plasticity,ventromedial hypothalamus,Brain/CNS,ventromedial hypothalamic nucleus (VMN) neuron,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Obesity,Metabolic & Endocrine,"caloric intake, down","Food intake, down",astrocyte-derived ketone bodies,NS,NS
25816337,0,primary hepatocytes from fed mice; primary hepatocytes from fasted mice,animal; in vitro,Multi-model,"intracellular NADH, up",Mitochondrial Function & Bioenergetics,liver,Liver,hepatocytes,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"alanine-stimulated gluconeogenesis, up","Gluconeogenesis, up",beta-hydroxybutyrate (betaOHB)/acetoacetate (Acoc),Exogenous BHB (unspecified/free acid),NS
25968178,GFAP,adult rats; continuous lumbar spinal cord AMPA infusion,animal,Animal – Rat; Animal – Other Mammal,"mitochondrial energy metabolism, up",Mitochondrial Function & Bioenergetics,lumbar spinal cord,Spinal cord,motor neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Amyotrophic lateral sclerosis,Neurodegenerative,"motor deficits and paralysis, down","Motor function, down",co-infusion,NS,NS
25991463,NLRP3,NS,NS,NS,"Nlrp3 inflammasome inhibition, down",Inflammation & Immune Response,NS,NS,myeloid cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Autoinflammatory diseases,Autoimmune & Inflammatory,"NS, nan","NS, nan",NS,NS,NS
26058697,SIRT3; FOXO3; SOD2,mice (transient middle cerebral artery (MCA) occlusion); in vitro SIRT3 knockdown,animal; in vitro,Animal – Mouse; In vitro – Immortalized cell line,"SIRT3-FoxO3a-SOD2 pathway, up",Oxidative Stress & Antioxidant Defense,penumbra region,Brain/CNS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Ischemic stroke,Cerebrovascular / Stroke,"infarct volume, down; neurologic function, up","Infarct size, down; Neurological deficit score, up",ketones (beta-hydroxybutyrate and acetoacetate),Exogenous BHB (unspecified/free acid),NS
26087172,PPARA,wild-type mice; Pparalpha-deficient mice; Pparalpha-deficient mice reconstituted with adeno-associated serotype 8 virus-PPARalpha,animal,Animal – Mouse,"oxidative stress, down",Oxidative Stress & Antioxidant Defense,liver,Liver,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,Acute liver failure,Gastrointestinal & Hepatobiliary,"acute liver failure, down","Liver injury, down",ketone body beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
26286937,FXN,primary FRDA fibroblasts,in vitro,In vitro – Primary cells,"cell growth/viability, down","Cell Proliferation, Growth & Differentiation",NS,NS,primary FRDA fibroblasts,Stromal / Mesenchymal,Fibroblasts,mitochondrial matrix,Mitochondria,Unspecified,Friedreich ataxia,Genetic / Congenital,"cell growth/viability, down","Cell viability, down",in media with beta-hydroxybutyrate (BHB) as carbon source,Exogenous BHB (unspecified/free acid),NS
26303508,MAP1LC3B; SQSTM1,cortical cultured neurons,in vitro,In vitro – Primary cells,"autophagic flux, up",Cell Death & Survival,cortex,Brain/CNS,cortical neurons,Neural / Glial,Neurons,lysosome,Lysosome,Unspecified,Glucose deprivation,Metabolic & Endocrine,"neuronal survival, up","Survival, up",D-BHB,Exogenous BHB (unspecified/free acid),D-BHB
26452206,0,betamethasone-exposed rat offspring; NMDA-triggered spasms model,animal,Animal – Rat,"acute stabilization of brain metabolites, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Infantile spasms,Neurodevelopmental & Neuropsychiatric,"latency to onset of spasms, up (delayed); number of spasms, down; interactions with strangers, down; contextual memory, up","Seizure activity, up (delayed); Seizure activity, down; Social interaction, down; Memory (general), up",i.p. BHB,Intraperitoneal BHB,NS
26483636,0,SH-SY5Y cell line,human; in vitro,In vitro – Immortalized cell line,"glucose oxidation, up",Metabolic Regulation,neurons,NS,SH-SY5Y cells,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Alzheimer's disease,Neurodegenerative,"glucose oxidation, up","Fat oxidation, up",beta hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
26498829,0; LDLR; SREBF2,rats; healthy humans,animal; human,Animal – Rat; Human – Observational/Patient samples,"ketosis, up",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",betaHB ester (KE) ((R)-3-hydroxybutyl (R)-3-hydroxybutyrate),Ketone ester (KE),D-BHB
2660583,0,19-day pregnant rats; fetal rats; fed pregnant rats infused with DL-beta-hydroxybutyrate,animal,Animal – Rat,"metabolic adaptations, NS",Metabolic Regulation,fetal hindlimb muscles,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"2DG uptake, down","Glucose uptake, down",DL-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
26656066,OCLN; AQP4; SLC2A1; NFKB1,rats,animal,Animal – Rat,"BBB integrity, down",Vascular Function & Angiogenesis,cerebral cortex,Brain/CNS,brain capillary endothelial cells,Endothelial,Endothelial (unspecified),NS,Unspecified / Generic,NS,Traumatic brain injury,Injury & Trauma,"BBB permeability, no-change","BBB integrity, no-change",NS,NS,NS
26748385,0,rat brain synaptosomes; cortical neurons,animal; in vitro,Animal – Rat; NS,"reduction of endocytosis, down",Other / Unspecified,brain,Brain/CNS,presynaptic terminals,Neural / Glial,Neurons,synaptic vesicles,Secretory Vesicles & Trafficking,Synaptic vesicles,nan,Other / Unspecified,"anticonvulsant activity, NS","Seizure protection, NS",as the main energy substrate,NS,NS
